"X2.245","wss"
2,265.170122040246
3,137.313021553353
4,91.6494503427796
5,84.2878168304449
6,65.9596850004934
7,52.0177448972195
8,50.297336141698
9,39.8506153524351
10,36.3076304764581
11,26.099283239377
12,19.1901002595432
13,18.5202673220929
14,25.8997996431332
15,14.3966760159316
16,21.918989381692
17,12.9289749187641
18,17.2821307486279
19,12.6062731499014
20,13.7521148805859
21,13.7375325229858
22,21.6552445580191
23,8.01475256803209
24,8.01819640893988
25,7.99888188348743
26,7.35648829414715
27,9.20286359544241
28,7.36654548521022
29,10.0428428068329
30,6.05556041115138
31,5.69119269545049
32,5.45618921824663
33,6.48696787864564
34,5.60275676105981
35,6.4882650932591
36,5.58801698633945
37,5.56750962702834
38,4.74588759391952
39,4.66463304142326
40,5.71239064280565
41,4.36284812415342
42,4.64412284763406
43,3.51906899619643
44,4.47501303960818
45,3.07417701623327
46,3.29393079645373
47,2.73418734038948
48,3.59716268193839
49,3.54622417822738
50,2.68081696215043
51,2.81753035876108
52,2.4401317531714
53,3.05198917520172
54,2.54292164596905
55,2.20275928138809
56,2.24235223876397
57,1.94082306467317
58,2.00611033417326
59,2.33576310979411
60,2.6160476882729
61,2.86741218672539
62,2.24963755596931
63,1.99273392680951
64,1.68697721087586
65,1.86649099854282
66,1.20498348204092
67,1.32886963352833
68,1.77487071547506
69,1.92255932219364
70,1.3660845484127
71,1.1328185274733
72,0.860512121829527
73,1.43576099877228
74,1.45250411509802
75,1.03040121683537
76,1.3913283873024
77,1.21889672389169
78,1.90823932208677
79,1.06091946507812
80,1.13149069585675
81,1.46870869060657
82,1.29087287425305
83,0.971971370727886
84,0.954687710504868
85,0.837684637151497
86,0.679501588447278
87,0.762077714601536
88,1.30333828920714
89,0.967257956930257
90,0.976844085738846
91,0.785140383898488
92,1.25305974215944
93,0.927237902018307
94,0.867398759010029
95,0.969888741762372
96,0.960392122928775
97,1.20680909716279
98,0.741396010233651
99,0.720490452323349
100,0.512808775901189
101,0.823056650999935
102,0.82309775967411
103,0.875979124910717
104,0.820413740117546
105,0.502742979126215
106,0.439165283019029
107,0.631397740222372
108,0.73297201781028
109,0.734342126340201
110,0.502755882961847
111,0.533923263735868
112,0.502359509049156
113,0.541530501133812
114,0.767558496819256
115,0.679253410509075
116,0.551297542164905
117,0.61978225294763
118,0.680903941095308
119,0.357512297303912
120,0.773544766614988
121,0.620561553229957
122,0.689328446395122
123,0.604236205446618
124,0.652370212273016
125,0.624056397021021
126,0.669291919772292
127,0.515125894005191
128,0.334226670454951
129,0.209436437581812
130,0.630424163184157
131,0.517548990300279
132,0.204060605886406
133,0.240423648527618
134,0.498819125722052
135,0.355368094757562
136,0.378740998041759
137,0.397686179115587
138,0.581693797656735
139,0.383102718594409
140,0.358837945317658
141,0.487292679688703
142,0.408007641293877
143,0.496663321681249
144,0.428555772142105
145,0.408020817955314
146,0.252463466254533
147,0.236709666147089
148,0.307143486554773
149,0.180826824658183
150,0.0843140897588782
151,0.295049440623043
152,0.442530896480897
153,0.22746974211395
154,0.620157360648082
155,0.104173150950895
156,0.206930000029392
157,0.414780744513497
158,0.233525276248212
159,0.357216275651252
160,0.375007244480021
161,0.230826486060111
162,0.359635265192328
163,0.578566229870299
164,0.130099224997089
165,0.362492997212844
166,0.12683819642108
167,0.30596146548645
168,0.158096695096334
169,0.282448789274869
170,0.0880034753261312
171,0.0480022538488011
172,0.153993811994393
173,0.470274801983989
174,0.203534579342866
175,0.291669355814642
176,0.321682895439262
177,0.19077463673766
178,0.0594766405662184
179,0.0324380215732981
180,0.0651610218352667
181,0.145244435831462
182,0.396155604763163
183,0.0255879536226007
184,0.071107132952083
185,0.0563488411588919
186,0.08445975326995
187,0.0815503427145778
188,0.0469524458514923
189,0.0164210108124156
190,0.181301642910468
191,0.160021995672947
192,0.246775598410252
193,0.238103482198827
194,0.194590502253534
195,0.1647743002811
196,0.00466152409808349
197,0.333772214436283
198,0.0558050021624493
199,0.061723865088533
200,0.232287390028668
201,0.195224323104334
202,0.0310704432762504
203,0.0910020969331678
204,0.157367647786545
205,0.168881868985746
206,0.0128736090514095
207,0.105068647953744
208,0.00596057968686553
209,0.160547794672783
210,0.178947268526334
211,0.0558608287386168
212,0.0262592611061663
213,0.0955491700556676
214,0.00364938092491052
215,0.109842825449894
216,0.128114544687833
217,0.0429475674288325
218,0.0241895425379093
219,0.00773185375033431
220,0.0542789116019179
221,0.0329846135548329
222,0.00246731535361489
223,0.0279924494144166
224,0.00111130086766704
225,0.101735061939167
226,0.0106015059290765
227,0.0541975253006166
228,0.00783882630190955
229,0.0224124458591664
230,0.0384349204642449
231,0.10067668324291
232,0.00142235403600008
233,0.000853308764243009
234,0.00322601511540984
235,0.00201385965550059
236,0.100922423544333
237,0.00151964547350024
238,0.00495166013800022
239,0.000708933820333481
240,0.00406426437500005
241,0.000542362696500084
242,0.000532418238000196
243,3.62035319999675e-05
244,9.41310018333148e-05
245,6.06788999999347e-06
